currency_code, email, name, password_change, password_repeat, surname, username
USD,GyTkeCfUQh@mail.com,AaiORniQGnav,Obj!SBElIqj@qOnH,Obj!SBElIqj@qOnH,vsvtqJyTmtUP,eQkwsyIVSlny
USD,uIWEpUznsr@mail.com,LWNPmfyuQeKz,5M#2qZijkBHISq@k,5M#2qZijkBHISq@k,oenFmAaSIXPK,VDDTqEkfjbpC
USD,OJOEeEJKKh@mail.com,dLjzTeJzlHZG,UjrVew3vbi$W06jr,UjrVew3vbi$W06jr,dTfRMpYwadHi,EbbmKWuJNlHt
USD,qRhtMhElhp@mail.com,yNowOdivhLPJ,_^y-kNnN%O=RSe9+,_^y-kNnN%O=RSe9+,cNWcXeJJPDrG,tcjLatRxUNPn
USD,zXBfNAxziM@mail.com,eWxqUAhMJmrT,$p+1@bFJ-n=Zm0Wa,$p+1@bFJ-n=Zm0Wa,XuussmoWcCNK,JQAYVqLiPske
USD,tYIaYJjpVj@mail.com,pLRhHTXEuScs,l2bUb=K!JiukYfkV,l2bUb=K!JiukYfkV,wMIYOTYCPpuv,Ewcqxjskkyia
USD,jmEbAokDoJ@mail.com,VcpJOTXnMPbx,jqeOIdyxqqgs5+g2,jqeOIdyxqqgs5+g2,HziDGxEOvIvn,LaUteSzcNwFh
USD,eFEJLlFewX@mail.com,nxxvutYfWXJP,##)MMpux5rygMyh_,##)MMpux5rygMyh_,hnRxHnZqiQds,bZhypLVAXmhA
USD,NbycNUvhcb@mail.com,wPSKoZmuHclq,1!=KHDaVl8M#U^=L,1!=KHDaVl8M#U^=L,otcEdwpYGMzV,KdQFSxgaSxpq
USD,OjHrBSbjtI@mail.com,koMKfXKNEBjn,%aBWq+1D6YS$%Ig^,%aBWq+1D6YS$%Ig^,setzGZfruJei,VCAqfUkZwNdb
USD,OLYbxSoQnM@mail.com,tUIagWwmAYPz,=kSMmHJ8AA4jjBo^,=kSMmHJ8AA4jjBo^,yKWCVtwUCSlo,ESRJDXFCUSUd
USD,gYVqvunHEO@mail.com,KLNljJkDTjTb,mo_R*lvU()tT4s@0,mo_R*lvU()tT4s@0,ZILVZojzYDJv,UpaSxOQZyaQC
USD,wpwNjqfxpn@mail.com,MEEXebFLRJyP,rQH#w#ivisKB1C!=,rQH#w#ivisKB1C!=,YvRmDtvEtFmO,eQCrsdpBCEku
USD,JVpeIjjQoA@mail.com,WZmdCJIYluCq,ZbcM*%O$%4W7n2nC,ZbcM*%O$%4W7n2nC,mKSECroVSUkv,yrHPGJXUkAzQ
USD,LmJLoYmhsm@mail.com,aRmdzueQMved,tuapvA9EunCY)^q*,tuapvA9EunCY)^q*,UBiXKHsTtllX,dtKtjvnkdnPp
USD,YbCeiTdwgr@mail.com,HOVsFSPwhPdp,Tele08^6ATtPvt*R,Tele08^6ATtPvt*R,iaSEkMRjpgkG,AWNSyTknvLPi
USD,RsxjNEvWfO@mail.com,sefAbtHeBuOx,97VfR9fqS+MjRdbG,97VfR9fqS+MjRdbG,wWgRTIZVQyGw,jmmPhPwaIbwX
