currency_code, email, name, password_change, password_repeat, surname, username
USD,PcrISGlbNy@mail.com,dfQRYLgvdhhI,Nwza%f&zKWS+uUvx,Nwza%f&zKWS+uUvx,ADtWmrNKIukL,JAgoDZGBNnRY
USD,gLCnxdcdyw@mail.com,ePPNySzfNTwd,@pBoP8o-4-or$Sjq,@pBoP8o-4-or$Sjq,VSRiYgVHemsq,crffgopJZgVy
USD,fqmhLiDGJu@mail.com,XJHlSZOvYebb,ba=m$KabqO!8D7cI,ba=m$KabqO!8D7cI,OYNamchZUrOh,jxOtkarAFtBi
USD,syvioqvJyP@mail.com,HwOJZuoclShI,3niim2u%k_*%aYY9,3niim2u%k_*%aYY9,SdzTSFGKtncV,edofAgTFCkXT
USD,wBNIzXTNen@mail.com,DmLIEbDwsuHI,Z$oWHD2Hvr7f7xeJ,Z$oWHD2Hvr7f7xeJ,LtrXsMfSJVAE,UKNmuMfbcLIV
USD,gqEOBgCvbd@mail.com,raAitcIMWaOK,On4&N#A-ABQji(0+,On4&N#A-ABQji(0+,MfciidEyIKWV,TrXEgDcmAImA
USD,FPNRlhSmjQ@mail.com,xGoNSdNGkvYf,IAPnO-KipL@=84D#,IAPnO-KipL@=84D#,INeieQHmCSEq,ohUamYnjzMwR
USD,WrRCvdhuBo@mail.com,zMWDaEXRctes,RyOVyM86000nrchl,RyOVyM86000nrchl,LQWHjTOOdQfL,lmeBpdDPHQpJ
USD,AwunnjFfCQ@mail.com,NcWvFdnJAvSL,eG2UjFIm7Qu=z0S@,eG2UjFIm7Qu=z0S@,mLZwiIwVQvWP,nRmKTUKkBHod
USD,eZGrmlYoBb@mail.com,uoPgmqoXjvIR,oZSugy6u+znezQ)(,oZSugy6u+znezQ)(,CMUNuVuNPQGq,ZOyykBGhJzpU
