currency_code, email, name, password_change, password_repeat, surname, username
USD,hwQHjCZhhj@mail.com,uwZuEnvHsXeI,852ajPu8)EI@PYba,852ajPu8)EI@PYba,QATGVZzNfBYH,SfGwiePjMGCv
USD,JTpcKiZvuO@mail.com,itfThxrVvHEm,l(#ivd+DQlgG&8_p,l(#ivd+DQlgG&8_p,fafpcTQFMNNh,luRDIOuxiXuh
USD,TkOibuEuhB@mail.com,HxLsOFYjNtWa,#koP^l_PMeHePkFk,#koP^l_PMeHePkFk,OURTLlPUXnOA,NYtHRRDFeisS
USD,LzJkGyFizN@mail.com,bElqExraquZe,Eagv2lax*%!YSFC^,Eagv2lax*%!YSFC^,uGtIgijpYmPZ,LIucWwxAhOYU
USD,ISOtrIvHNS@mail.com,SCZShOInXFEx,BQzA&IJF8bBj8S*J,BQzA&IJF8bBj8S*J,TxEaoLhIGhsh,CxNJtLrhfiGB
USD,SSgOrVypwG@mail.com,FQZXSlvMTKBO,UsPFIVbMz!sTnmKG,UsPFIVbMz!sTnmKG,EnrvDvoysJgc,uyPukqonXTss
USD,uXczXlHpRu@mail.com,sxEQAfaITlPR,wFN-$GCZhexMB1@d,wFN-$GCZhexMB1@d,pjtwTfvGcKci,WybmbLUZDbDu
USD,iPNaGKpGgf@mail.com,xeIfCRAPFXYA,*%=HQ=40e82TDA$q,*%=HQ=40e82TDA$q,EjYUEgxONXuY,AYivgNcxRSJC
USD,oLWEIzAJge@mail.com,hKypweiPRmmU,sN-$H#Nufo&H+8$e,sN-$H#Nufo&H+8$e,nPydggufcYHP,YobHBLptaWPu
USD,aDilMuaxzC@mail.com,xpuRHrnAqgZd,j8w%bI_3C2mNJ4QE,j8w%bI_3C2mNJ4QE,NMlHhbxWNdNp,eGwrIbhzLSgZ
